# rawpaco: FPC RTL/FCL symbol table
# DO NOT EDIT BY HAND. Regenerate with: bash tools/gen_fpc_symbols.sh
# fpc-version: 3.2.2
# generated-from-target: x86_64-linux
# ppu-root: /usr/lib/x86_64-linux-gnu/fpc/3.2.2/units/x86_64-linux
# source-root: /usr/share/fpcsrc/3.2.2
#
# Format (tab separated):
#   U <unit> <strict|loose>   ... start of a unit block
#   G <name> <D|.> <message>  ... unit-level public symbol (D = deprecated)
#   M <name>                  ... other known name (class member, platform-only, ...)
U	system	loose
M	lplogpen
M	lpmetarecord
M	lpmith
M	lpmr
M	lpmsg
M	lpname
M	lpndspelements
M	lpnewitem
M	lpnmaxpos
M	lpnminpos
M	lpnpolycount
M	lpnpolycounts
M	lpntabpositions
M	lpntabs
M	lpnwidths
M	lpofstruct
M	lppaintstruct
M	lppaletteentry
M	lpparams
M	lppe
M	lppoint
M	lpportname
M	lpproc
M	lpps
M	lppt
M	lprc
M	lprc1
M	lprc2
M	lprcclip
M	lprcdest
M	lprcdst
M	lprcscroll
M	lprcsrc
M	lprcsrc1
M	lprcsrc2
M	lprcupdate
M	lprect
M	lpreserved
M	lpreserved2
M	lpsecurityattributes
M	lpseginfo
M	lpstat
M	lpstr
M	lpsz
M	lpszbitmap
M	lpszbuffer
M	lpszclassname
M	lpszdef
M	lpszdefault
M	lpszdevcontrol
M	lpszdevice
M	lpszdlgtemp
M	lpszdriver
M	lpszentry
M	lpszface
M	lpszfile
M	lpszfilename
M	lpszfmt
M	lpszformatname
M	lpszhelp
M	lpszindata
M	lpszlocalname
M	lpszmenuname
M	lpszname
M	lpsznetpath
M	lpszoemstr
M	lpszout
M	lpszoutput
M	lpszpassword
M	lpszpath
M	lpszremotename
M	lpszreturnbuffer
M	lpszsection
M	lpszstring
M	lpszstring1
M	lpszstring2
M	lpsztablename
M	lpsztext
M	lpsztitle
M	lpszwindow
M	lpszwindowname
M	lpszwindowsstr
M	lptextmetric
M	lptitle
M	lptm
M	lptodp
M	lptype
M	lpuint
M	lpuprioritylist
M	lpvandbits
M	lpvandplane
M	lpvbits
M	lpvbuf
M	lpvcreateparams
M	lpvdlgtmp
M	lpvinitdata
M	lpvobject
M	lpvoid
M	lpvoutdata
M	lpvparam
M	lpvxorbits
M	lpvxorplane
M	lpwc
M	lpwndclass
M	lr
M	lresult
M	lstrcat
M	lstrcmp
M	lstrcmpi
M	lstrcopy3bytes
M	lstrcopyaligned
M	lstrcopyalignloop
M	lstrcopybyte
M	lstrcopydone
M	lstrcopyendfound
M	lstrcopyword
M	lstrcpy
M	lstrlen
M	ltd
M	lts
M	m
M	machine
M	macosbootvolumename
M	macosbootvolumevrefnum
M	macoshasaliasmgr
M	macoshasappearance
M	macoshasappearance101
M	macoshasappearance11
M	macoshasappleevents
M	macoshascfm
M	macoshascolorqd
M	macoshasfindfolder
M	macoshasfpu
M	macoshasfsspec
M	macoshasgestalt
M	macoshasscriptmgr
M	macoshassysdebugger
M	macoshaswaitnextevent
M	macosnrofscriptsinstalled
M	macossystemversion
M	magic
M	maininstance
M	makelong
M	makelp
M	makelparam
M	makelresult
M	makeprocinstance
M	malloc
M	manager
M	mantissa
M	mapdialogrect
M	mapvirtualkey
M	master_interrupt_controller_base
M	max_files
M	maxavail
M	maxbytes
M	maxchars
M	maxdestbytes
M	maxdestchars
M	maxheapsize
M	maxheapused
M	maxlen
M	maxlookaead
M	maxlookahead
M	mccount
M	mcforceflag
M	mcontext_t
M	mcount
M	mem
M	memalign
M	memavail
M	memcpy
M	meml
M	memmgr
M	memory_handle
M	memset
M	memw
M	message
M	messagebeep
M	messagebox
M	messagetext
M	metarecord
M	meth
M	method
M	methodaddress
M	methodname
M	mfenmprc
M	mfenumproc
M	minfree
M	minkeep
M	minstack
M	mod
M	mode
M	mode_t
M	modes
M	modifymenu
M	module
M	modulehandle
M	modulename
M	mopinittable
M	mos_ambmsg
M	mos_conhandle
M	mos_conname
M	mos_dosbase
M	mos_execbase
M	mos_utilitybase
M	movb
M	movefilew
M	movenext
M	moveto
M	movewindow
M	movl
M	movw
M	mq
M	mr
M	msg
M	msgstrtable
M	msr
M	mstsave
M	muld
M	muldiv
M	muls
M	mutex
M	myheaprealsize
M	myheapsize
M	n
M	name
M	name_max
M	namecount
M	namedargcount
M	namelen
M	names
M	nbottom
M	nbottomrect
M	nbytes
M	ncmdshow
M	ncode
M	ncount
M	ndim
M	ndivisor
M	ndspelement
M	nduration
M	ned
M	needlock
M	negd
M	negs
M	nellipseheight
M	nellipsewidth
M	nes
M	nescape
M	nescapement
M	nestedfpstruct
M	netwarecheckfunction
M	netwaremainthreadgroupid
M	netwareunloadproc
M	new_int00
M	new_int75
M	newempty
M	newinstance
M	newptr
M	newtm
M	newvalue
M	nexitcode
M	next
M	nextraspace
M	nfunction
M	nheight
M	nheightdest
M	nheightellipse
M	nheightsrc
M	nil
M	nindex
M	nleft
M	nleftrect
M	nlink_t
M	nmax
M	nmaxpos
M	nmaxsize
M	nmin
M	nminpos
M	nmultiplicand
M	nmultiplier
M	node
M	nodename
M	noerrortracking
M	noffset
M	nonidentical
M	norientation
M	normalexit
M	not
M	notifyproc
M	notl
M	npitch
M	npolycount
M	npolycounts
M	npos
M	nr
M	nrepeat
M	nreserved
M	nresult
M	nright
M	nrightrect
M	nsaveddc
M	nshape
M	nstartscan
M	ntaborigin
M	ntabpositions
M	ntabs
M	ntempo
M	ntop
M	ntoprect
M	number
M	nval
M	nvoice
M	nvolume
M	nwgetcodelength
M	nwgetcodestart
M	nwgetdatalength
M	nwgetdatastart
M	nwidth
M	nwidthdest
M	nwidthellipse
M	nwidths
M	nwidthsrc
M	nwloggerscreen
M	nwsyssetthreadfunctions
M	nxdenom
M	nxdest
M	nxend
M	nxendarc
M	nxendline
M	nxextent
M	nxnum
M	nxoffset
M	nxorg
M	nxorigin
M	nxorigindest
M	nxoriginsrc
M	nxpos
M	nxsrc
M	nxstart
M	nxstartarc
M	nxstartline
M	nydenom
M	nydest
M	nyend
M	nyendarc
M	nyendline
M	nyextent
M	nynum
M	nyoffset
M	nyorg
M	nyorigin
M	nyorigindest
M	nyoriginsrc
M	nypos
M	nysrc
M	nystart
M	nystartarc
M	nystartline
M	o_accmode
M	o_append
M	o_arg1
M	o_binary
M	o_creat
M	o_dsync
M	o_excl
M	o_fifo
M	o_iar
M	o_ndelay
M	o_noctty
M	o_nonblock
M	o_rdonly
M	o_rdwr
M	o_reserved1
M	o_reserved2
M	o_reserved3
M	o_rsync
M	o_sync
M	o_toc
M	o_trunc
M	o_update
M	o_vaddr
M	o_wronly
M	obj
M	objtype
M	oe
M	oemkeyscan
M	oemtoansi
M	oemtoansibuff
M	of
M	off
M	off_t
M	offset
M	offsetcliprgn
M	offsetof
M	offsetrect
M	offsetrgn
M	offsetviewportorg
M	offsetwindoworg
M	oflag
M	old
M	old_int00
M	old_int75
M	oldact
M	oldargvlen
M	olderrno
M	oldfontenumproc
M	oldsigbus
M	oldsigfpe
M	oldsigill
M	oldsigsegv
M	oldtm
M	olevarfromint
M	olevarfromlstr
M	olevarfrompstr
M	olevarfromvar
M	op
M	op1
M	op2
M	opcode
M	openclipboard
M	opencomm
M	opendir
M	openfile
M	openfiles
M	openflags
M	openfunc
M	openicon
M	opennames
M	opensound
M	openstdio
M	options
M	or
M	ord2strindex
M	ordinal
M	orgset
M	origin
M	os
M	os2cptortlcp
M	os_mode
M	osdos
M	osdpmi
M	oserrorwatch
M	osos2
M	ossetupentryinformation
M	out
M	outb
M	outbuf
M	outbytesleft
M	outlen
M	outputdebugstring
M	outputstring
M	overhead
M	overload
M	override
M	owningthread
M	p
M	p1
M	p2
M	p3
M	p__extctx_t
M	p_file
M	p_go32_info_block
M	p_iobuf
M	p_stub_info
M	packed
M	pad
M	pad1
M	padspace_t
M	paintrgn
M	paintstruct
M	paletteindex
M	palettergb
M	para1
M	para2
M	param
M	parameter
M	parametername
M	params
M	parentpid
M	pascalmain
M	patblt
M	path
M	path_max
M	pathname
M	pathtranslation
M	pbytearray
M	pc
M	pchartopwidechar
M	pdir
M	pdir_iter
M	pdirent
M	pdirio
M	pe
M	peekmessage
M	pexception_frame
M	pexchain
M	pfarchar
M	pfileio
M	pfileiodevice
M	phugechar
M	pid
M	pid_t
M	pie
M	pjboolean
M	pjbyte
M	pjchar
M	pjdouble
M	pjfloat
M	pjint
M	pjlong
M	pjshort
M	plabel_t
M	playmetafile
M	playmetafilerecord
M	pmstsave
M	point
M	polygon
M	polyline
M	polypolygon
M	popl
M	popw
M	port
M	posactual
M	position
M	postappmessage
M	postmessage
M	postquitmessage
M	power
M	pp_file
M	ppdirent
M	ppprocessinfoblock
M	pprocessinfoblock
M	ppthreadinfoblock
M	precinfo
M	prefixseg
M	prefixstring
M	prestochangoselector
M	prev
M	primary
M	printf
M	prio
M	priority
M	private
M	proc
M	procedure
M	procname
M	proctype
M	propenumproc
M	property
M	protected
M	proxy_argc
M	proxy_ofs
M	proxy_s
M	proxy_seg
M	prpenmprc
M	ps
M	psigcontext
M	psp_selector
M	psrc
M	pstack_t
M	pstat
M	pstatfs
M	psysthreadib
M	pszcursor
M	pszicon
M	pt
M	pthreadinfoblock
M	pti
M	ptime_t
M	ptimeval
M	ptimezone
M	ptinrect
M	ptinregion
M	ptm
M	ptvisible
M	public
M	pucontext_t
M	pushl
M	pushw
M	q
M	qsort
M	qualifiedclassname
M	queryabort
M	queryinterface
M	quote
M	r
M	r12
M	r13
M	r14
M	r15
M	r_ok
M	range
M	rbp
M	rbx
M	rc
M	rc1
M	rc2
M	rcclip
M	rcdest
M	rcdst
M	rcscroll
M	rcsrc
M	rcsrc1
M	rcsrc2
M	readbuffer
M	readcomm
M	readdir
M	readdir_r
M	readusehighmem
M	readwrite
M	readwritestrtext
M	realcs
M	realds
M	realeax
M	realebp
M	realebx
M	realecx
M	realedi
M	realedx
M	reales
M	realesi
M	realflags
M	realfs
M	realgs
M	realip
M	realizepalette
M	realloc
M	realmaxpathlen
M	realres
M	realsp
M	realss
M	record
M	recsize
M	rect
M	rectangle
M	rectinregion
M	rectvisible
M	recursioncount
M	reenable_signal
M	refcount
M	reg
M	registerclass
M	registerclipboardformat
M	registerwindowmessage
M	regs
M	release
M	releasecapture
M	releasedc
M	releasethreadvars
M	relocateheap
M	relocatethreadvar
M	relocproc
M	remove
M	removeall
M	removefontresource
M	removemenu
M	removeprop
M	reopenbuff
M	replymessage
M	reqflags
M	res
M	res1
M	res2
M	res3
M	resdata
M	reserved
M	reserveentries
M	resetevent
M	reshandle
M	resizepalette
M	reslocation
M	resourcename
M	resourcestringtables
M	resourcetype
M	resstrinittables
M	restoredc
M	restoreoldsignalhandlers
M	restype
M	result
M	retainall
M	rewinddir
M	rgb
M	rgbvalues
M	right
M	rip
M	rm_argv
M	rootname
M	roundrect
M	rsp
M	rsrchdlrproc
M	rsvd
M	rt
M	rtl_do_close
M	rtl_do_erase
M	rtl_do_filepos
M	rtl_do_filesize
M	rtl_do_isdevice
M	rtl_do_open
M	rtl_do_read
M	rtl_do_rename
M	rtl_do_seek
M	rtl_do_seekend
M	rtl_do_truncate
M	rtl_do_write
M	rtlcp
M	rtlcptoos2cp
M	rtleventwaitfortimeout
M	rtlproc
M	rtluseswincp
M	rtv
M	ru
M	run_mode
M	run_mode_info
M	runtimeerror
M	rusage
M	rv
M	s
M	s1
M	s2
M	s3
M	s_blksize
M	s_irgrp
M	s_iroth
M	s_irusr
M	s_isblk
M	s_ischr
M	s_isdir
M	s_isfifo
M	s_isgid
M	s_islnk
M	s_isreg
M	s_issock
M	s_isuid
M	s_iwgrp
M	s_iwoth
M	s_iwusr
M	s_ixgrp
M	s_ixoth
M	s_ixusr
M	sa
M	sa_64regset
M	sa_flags
M	sa_handler
M	sa_siginfo
M	safecallexception
M	sarr
M	savedc
M	saveeax
M	saveedi
M	saveesi
M	saveint00
M	saveint10
M	saveint75
M	scaleviewportext
M	scalewindowext
M	scanf
M	screentoclient
M	scrolldc
M	scrollwindow
M	sealed
M	seek_cur
M	seek_end
M	seek_set
M	seekdir
M	seg0040
M	sega000
M	segb000
M	segb800
M	segment
M	sel
M	selectcliprgn
M	selectobject
M	selector
M	selector_for_linear_memory
M	selectorinc
M	selectorof
M	selectpalette
M	sem
M	semahandle
M	semaisopen
M	senddlgitemmessage
M	sendmessage
M	set
M	set1
M	set2
M	set_pm_interrupt
M	setactivewindow
M	setbitmapbits
M	setbitmapdimension
M	setbkcolor
M	setbkmode
M	setbrushorg
M	setcapture
M	setcaretblinktime
M	setcaretpos
M	setchar
M	setclasslong
M	setclassword
M	setclipboarddata
M	setclipboardviewer
M	setcommbreak
M	setcommeventmask
M	setcommstate
M	setcursor
M	setcursorpos
M	setdefaultmacoscreator
M	setdefaultmacosfiletype
M	setdefaultos2creator
M	setdefaultos2filetype
M	setdibits
M	setdibitstodevice
M	setdlgitemint
M	setdlgitemtext
M	setdoubleclicktime
M	setenvironment
M	seterrno
M	seterrormode
M	setevent
M	setexp
M	setfocus
M	setfpcbaseprocvartypebysignature
M	setfrac
M	sethandlecount
M	setitimer
M	setkeyboardstate
M	setmapmode
M	setmapperflags
M	setmenu
M	setmenuitembitmaps
M	setmessagequeue
M	setmetafilebits
M	setoserrortracking
M	setpaletteentries
M	setparent
M	setpixel
M	setpolyfillmode
M	setprop
M	setrect
M	setrectempty
M	setrectrgn
M	setresourcehandler
M	setrop2
M	setscrollpos
M	setscrollrange
M	setselectorbase
M	setselectorlimit
M	setsign
M	setsoundnoise
M	setstretchbltmode
M	setswapareasize
M	setsyscallnumbers
M	setsyscolors
M	setsysmodalwindow
M	setsystempaletteuse
M	settextalign
M	settextcharacterextra
M	settextcolor
M	settextjustification
M	setthreaddebugnamea
M	setthreaddebugnameu
M	settimer
M	setup_arguments
M	setup_environment
M	setupcmdline
M	setupentryinformation
M	setviewportext
M	setviewportorg
M	setvoiceaccent
M	setvoiceenvelope
M	setvoicenote
M	setvoicequeuesize
M	setvoicesound
M	setvoicethreshold
M	setwindowext
M	setwindowlong
M	setwindoworg
M	setwindowpos
M	setwindowshook
M	setwindowtext
M	setwindowword
M	sh_denyno
M	sh_denyrd
M	sh_denyrw
M	sh_denywr
M	shift
M	shl
M	shortstringclass
M	showcaret
M	showcursor
M	showownedpopups
M	showscrollbar
M	showwindow
M	sig
M	sig_unblock
M	sigactionrec
M	sigbus
M	sigfpe
M	sigill
M	signaltorunerror
M	signum
M	sigsegv
M	sigset_t
M	sigstksz
M	size
M	size_of_this_structure_in_bytes
M	size_of_transfer_buffer
M	size_t
M	sizeofresourcefunc
M	skipframes
M	slave_interrupt_controller_base
M	source
M	sourcebytes
M	sourcechars
M	sourcesel
M	sourcesize
M	specialtype
M	spincount
M	sprintf
M	src
M	src1
M	src2
M	srccopylen
M	srcminusdstbase
M	srcstart
M	srval
M	ss
M	ss_flags
M	ss_size
M	ss_sp
M	sscanf
M	ssize_t
M	sstr
M	st_atime
M	st_blksize
M	st_blocks
M	st_blocks_hi
M	st_blocksize
M	st_ctime
M	st_dev
M	st_gid
M	st_ino
M	st_ino_hi
M	st_mode
M	st_mtime
M	st_nblocks
M	st_nlink
M	st_rdev
M	st_size
M	st_size_hi
M	st_spare1
M	st_spare2
M	st_spare3
M	st_spare4
M	st_uid
M	stack
M	stack_size
M	stack_t
M	stackfix
M	stacklimit
M	stackpointer
M	stacksegment
M	stacksize
M	stacktopptr
M	start
M	startindex
M	startsound
M	startupinfo
M	stat
M	state
M	static
M	status
M	stdata
M	stdcp
M	stderr_fileno
M	stdin_fileno
M	stdout_fileno
M	stklen
M	stkptr
M	stod
M	stop
M	stopsound
M	str2ordindex
M	strcmp
M	strcompansistringproc
M	strcopy
M	stream
M	stretchblt
M	stretchdibits
M	stricompansistringproc
M	strict
M	string
M	stringmessagetable
M	stringtopwidechar
M	strlcompansistringproc
M	strlicompansistringproc
M	strloweransistringproc
M	strupperansistringproc
M	stub_info
M	style
M	sub
M	subd
M	subl
M	subs
M	substr
M	swapmousebutton
M	swaprecording
M	switchstackback
M	switchstackto
M	symdif
M	syncallvoices
M	sys_call
M	sys_dosopenl
M	sys_dossetfileptrl
M	sys_dossetfilesizel
M	sys_e2big
M	sys_eacces
M	sys_eaddrinuse
M	sys_eaddrnotavail
M	sys_eadv
M	sys_eafnosupport
M	sys_eagain
M	sys_ealready
M	sys_ebade
M	sys_ebadf
M	sys_ebadfd
M	sys_ebadmsg
M	sys_ebadr
M	sys_ebadrqc
M	sys_ebadslt
M	sys_ebfont
M	sys_ebusy
M	sys_echild
M	sys_echrng
M	sys_ecomm
M	sys_econnaborted
M	sys_econnrefused
M	sys_econnreset
M	sys_edeadlk
M	sys_edeadlock
M	sys_edestaddrreq
M	sys_edom
M	sys_edotdot
M	sys_edquot
M	sys_eexist
M	sys_efault
M	sys_efbig
M	sys_ehostdown
M	sys_ehostunreach
M	sys_eidrm
M	sys_eilseq
M	sys_einprogress
M	sys_eintr
M	sys_einval
M	sys_eio
M	sys_eisconn
M	sys_eisdir
M	sys_eisnam
M	sys_el2hlt
M	sys_el2nsync
M	sys_el3hlt
M	sys_el3rst
M	sys_elibacc
M	sys_elibbad
M	sys_elibexec
M	sys_elibmax
M	sys_elibscn
M	sys_elnrng
M	sys_eloop
M	sys_emfile
M	sys_emlink
M	sys_emsgsize
M	sys_emultihop
M	sys_enametoolong
M	sys_enavail
M	sys_enetdown
M	sys_enetreset
M	sys_enetunreach
M	sys_enfile
M	sys_enoano
M	sys_enobufs
M	sys_enocsi
M	sys_enodata
M	sys_enodev
M	sys_enoent
M	sys_enoexec
M	sys_enolck
M	sys_enolink
M	sys_enomem
M	sys_enomsg
M	sys_enonet
M	sys_enopkg
M	sys_enoprotoopt
M	sys_enospc
M	sys_enosr
M	sys_enostr
M	sys_enosys
M	sys_enotblk
M	sys_enotconn
M	sys_enotdir
M	sys_enotempty
M	sys_enotnam
M	sys_enotsock
M	sys_enotty
M	sys_enotuniq
M	sys_enxio
M	sys_eopnotsupp
M	sys_eoverflow
M	sys_eperm
M	sys_epfnosupport
M	sys_epipe
M	sys_eproto
M	sys_eprotonosupport
M	sys_eprototype
M	sys_erange
M	sys_eremchg
M	sys_eremote
M	sys_eremoteio
M	sys_erestart
M	sys_erofs
M	sys_error_max
M	sys_eshutdown
M	sys_esocktnosupport
M	sys_espipe
M	sys_esrch
M	sys_esrmnt
M	sys_estale
M	sys_estrpipe
M	sys_etime
M	sys_etimedout
M	sys_etoomanyrefs
M	sys_etxtbsy
M	sys_euclean
M	sys_eunatch
M	sys_eusers
M	sys_ewouldblock
M	sys_exdev
M	sys_exfull
M	sys_unicreatelocaleobject
M	sys_unicreateuconvobject
M	sys_unifreelocaleobject
M	sys_unifreeuconvobject
M	sys_unimapcptoucscp
M	sys_unimapctrytolocale
M	sys_unistrcoll
M	sys_unitolower
M	sys_unitoupper
M	sys_uniuconvfromucs
M	sys_uniuconvtoucs
M	syscallargs
M	syscopyfromdos
M	syscopytodos
M	sysdebugbase
M	sysdriverobject
M	sysentry
M	syslastoserror
M	sysname
M	sysrealintr
M	sysregistrypath
M	sysseg_move
M	system
M	system_exception_frame
M	system_exit
M	t
M	t_go32_info_block
M	t_stub_info
M	tabbedtextout
M	tansichararray
M	target
M	task
M	tb
M	tb_offset
M	tb_segment
M	tb_size
M	tbytearray
M	tcatchbuf
M	tcharsetdecoderthreadvar
M	tcharsetencoderthreadvar
M	tcollatorthreadvar
M	tdirio
M	tdll_entry_hook
M	tdll_process_entry_hook
M	tdochdir
M	tdoclose
M	tdoerase
M	tdofilepos
M	tdofilesize
M	tdogetdir
M	tdoisdevice
M	tdomkdir
M	tdoopen
M	tdoread
M	tdorename
M	tdormdir
M	tdoseek
M	tdoseekend
M	tdosopenl
M	tdossetfileptrl
M	tdossetfilesizel
M	tdotruncate
M	tdowrite
M	telldir
M	temp
M	temp_int
M	tempfilename
M	testb
M	testl
M	texception_frame
M	textmetric
M	textout
M	tfarproc
M	tfileio
M	tfileiodevice
M	tforce
M	theappointer
M	then
M	thread_priority_above_normal
M	thread_priority_below_normal
M	thread_priority_highest
M	thread_priority_idle
M	thread_priority_lowest
M	thread_priority_normal
M	thread_priority_time_critical
M	threadfiniproc
M	threadfunction
M	threadhandle
M	threadinitproc
M	threadname
M	threadvartablestable
M	throw
M	throwback
M	ti
M	tib2
M	tid
M	time
M	time_hi_and_version
M	time_low
M	time_mid
M	time_t
M	timeout
M	timeoutms
M	timer
M	timerproc
M	timeval
M	tjbitsetarray
M	tjbooleanarray
M	tjbytearray
M	tjchararray
M	tjclass
M	tjdoublearray
M	tjenumsetarray
M	tjfloatarray
M	tjintarray
M	tjlobjectdynarray
M	tjlongarray
M	tjobjectarray
M	tjprocvararray
M	tjrecordarray
M	tjshortarray
M	tjstringarray
M	tkeyboardstate
M	tlocaleobject
M	tlsalloc
M	tlsfree
M	tm
M	tm_hour
M	tm_isdst
M	tm_mday
M	tm_min
M	tm_mon
M	tm_sec
M	tm_wday
M	tm_yday
M	tm_year
M	tmp
M	tmprc
M	tnwcheckfunction
M	to
M	toansistring
M	toascii
M	toc
M	tofstruct
M	tos
M	toserrorwatch
M	toshortstring
M	tostring
M	totaladdrspace
M	totalallocated
M	totalcommitted
M	totalfree
M	totaluncommitted
M	tounicodestring
M	tp
M	tprocessinfoblock
M	trackpopupmenu
M	translateaccelerator
M	translatemdisysaccel
M	translatemessage
M	transmitcommchar
M	trealregs
M	trtl_do_close
M	trtl_do_erase
M	trtl_do_filepos
M	trtl_do_filesize
M	trtl_do_isdevice
M	trtl_do_open
M	trtl_do_read
M	trtl_do_rename
M	trtl_do_seek
M	trtl_do_seekend
M	trtl_do_truncate
M	trtl_do_write
M	tseginfo
M	tshortstringarray
M	tsigset
M	tsort
M	tstartupinfo
M	tstat
M	tsyscloseallremainingsemaphores
M	tsysparam
M	tsysreleasethreadvars
M	tsysresult
M	tsyssetthreaddataareaptr
M	tsysthreadib
M	ttagstring
M	tthreadinfoblock
M	tthreadrec
M	ttimeval
M	tucontext_t
M	tuconvobject
M	tunicreatelocaleobject
M	tunicreateuconvobject
M	tunifreelocaleobject
M	tunifreeuconvobject
M	tunimapcptoucscp
M	tunimapctrytolocale
M	tunistrcoll
M	tunitolower
M	tunitoupper
M	tuniuconvfromucs
M	tuniuconvtoucs
M	tv_sec
M	tv_usec
M	type
M	typesize
M	typinfo
M	tzp
M	u
M	ualert
M	uc_link
M	uc_mcontext
M	uc_sigmask
M	uc_stack
M	uchar
M	ucheck
M	uconv_object
M	uconvhandle
M	uconvobj
M	ucs1
M	ucs2
M	ucsbuf
M	uenable
M	ufiletype
M	ufilterfirst
M	ufilterlast
M	ufirstchar
M	uflag
M	uformat
M	ui64tod
M	ui64tos
M	uid_t
M	uint
M	uinterval
M	ukeycode
M	ulastchar
M	uldata
M	umseconds
M	umsg
M	umsgfiltermax
M	umsgfiltermin
M	ungetcommchar
M	unhookwindowshook
M	uniapi
M	unicharin
M	unicharsleft
M	unicode2ansimoveproc
M	unionrect
M	unique
M	unit
M	unitname
M	unlink
M	unlockdata
M	unlockresourcefunc
M	unlocksegment
M	unrealizeobject
M	unregisterclass
M	unsigned
M	unused
M	uoemchar
M	uparam
M	updatecolors
M	updatewindow
M	uposition
M	upperansistringproc
M	upperunicodestringproc
M	upperwidestringproc
M	uprioritylist
M	us
M	uscommand
M	usehighmem
M	useproxy
M	userdata
M	ustartscan
M	utimeout
M	utod
M	utos
M	utsname
M	uvalue
M	v
M	v1
M	v2
M	vafterconstruction
M	valgrind_used
M	validatecodesegments
M	validatefreespaces
M	validaterect
M	validatergn
M	value
M	vansistring
M	vany
M	var
M	varaddref
M	varargs
M	varcastole
M	varclear
M	varcopy
M	varfrombool
M	varfromcurr
M	varfromdisp
M	varfromdynarray
M	varfromint
M	varfromint64
M	varfromintf
M	varfromlstr
M	varfrompstr
M	varfromreal
M	varfromtdatetime
M	varfromword64
M	varfromwstr
M	varinit
M	varmgr
M	varneg
M	varnot
M	varop
M	varovalue
M	varray
M	varresult
M	vartobool
M	vartocurr
M	vartodisp
M	vartodynarray
M	vartoint
M	vartoint64
M	vartointf
M	vartolstr
M	vartopstr
M	vartoreal
M	vartotdatetime
M	vartoword64
M	vartowstr
M	vartype
M	vautotable
M	vbeforedestruction
M	vboolean
M	vbyte
M	vbytes
M	vchar
M	vclass
M	vclassname
M	vcurrency
M	vdate
M	vdefaulthandler
M	vdefaulthandlerstr
M	vdestroy
M	vdispatch
M	vdispatchstr
M	vdouble
M	vdynamictable
M	vector
M	vequals
M	verror
M	version
M	vextended
M	vfieldtable
M	vfreeinstance
M	vgethashcode
M	vinittable
M	vinstancesize
M	vinstancesize2
M	vint64
M	vinteger
M	vinterface
M	vintftable
M	virtual
M	vkey
M	vkkeyscan
M	vlongs
M	vlongword
M	vmethodtable
M	vmsgstrptr
M	vmt
M	vmt_pos
M	vnewinstance
M	vobject
M	voice
M	volestr
M	vparentref
M	vpchar
M	vpointer
M	vpwidechar
M	vqword
M	vrecord
M	vsafecallexception
M	vshortint
M	vsingle
M	vsmallint
M	vstring
M	vtable
M	vtostring
M	vtype
M	vtypeinfo
M	vunicodestring
M	vunknown
M	vustring
M	vvariant
M	vwidechar
M	vwidestring
M	vword
M	vword64
M	vwords
M	w
M	w_ok
M	waitmessage
M	waitsoundstate
M	wc
M	wflags
M	whence
M	which
M	while
M	who
M	wide2ansimoveproc
M	widebuf
M	widebuflen
M	widecharslen
M	widetoansibuf
M	width
M	win32getcurrentthreadid
M	windowfrompoint
M	winexec
M	winhelp
M	wndclass
M	wndenmprc
M	wndenumproc
M	wndprcprev
M	wndproc
M	wnetaddconnection
M	wnetcancelconnection
M	wnetgetconnection
M	wnewword
M	wnohang
M	words
M	wpaletteindex
M	wparam
M	wreserved
M	write0variant
M	writecomm
M	writeprivateprofilestring
M	writeprofilestring
M	writeusehighmem
M	writevariant
M	ws
M	wscancode
M	wshowwindow
M	wsprintf
M	wuntraced
M	wvirtkey
M	wvsprintf
M	x
M	x020
M	x080808080
M	x0a0
M	x0f0
M	x0fefefeff
M	x0ff
M	x0ff00
M	x0ff0000
M	x20
M	x204
M	x205
M	x300
M	x31
M	x_ok
M	xamt
M	xdest
M	xend
M	xer
M	xhotspot
M	xorb
M	xorl
M	xposstart
M	xsrc
M	y
M	yamt
M	ydest
M	yend
M	yhotspot
M	yield
M	yposstart
M	ysrc
M	z
M	zerobased
U	objpas	loose
G	AssignFile	.	
G	CloseFile	.	
G	ExceptionClass	.	
G	FinalizeResourceTables	.	
G	FixedInt	.	
G	FixedUInt	.	
G	Hash	.	
G	IEnumerable	.	
G	IEnumerator	.	
G	Integer	.	
G	IntegerArray	.	
G	LoadResString	.	
G	MaxInt	.	
G	PInteger	.	
G	PIntegerArray	.	
G	PPointerArray	.	
G	PResStringRec	.	
G	PString	.	
G	ParamStr	.	
G	PointerArray	.	
G	ResetResourceTables	.	
G	SetResourceStrings	.	
G	SetUnitResourceStrings	.	
G	TArray	.	
G	TEndian	.	
G	TIntegerArray	.	
G	TPointerArray	.	
G	TResStringRec	.	
G	TResourceIterator	.	
M	a
M	abs
M	abstract
M	acodepage
M	add
M	addall
M	addexitproc
M	addr
M	address
M	align
M	alignment
M	anew
M	ansi2unicodemoveproc
M	ansi2widemoveproc
M	ansichar
M	ansichararrayclass
M	ansistring
M	ansistringclass
M	aorg
M	append
M	arg
M	args
M	argtypes
M	arr
M	arr1jiconsole
M	arr1jifile
M	arr1jiinputstream
M	arr1jiioexception
M	arr1jioutputstream
M	arr1jiprintstream
M	arr1jiprintwriter
M	arr1jiserializable
M	arr1jlaannotation
M	arr1jlabstractstringbuilder
M	arr1jlappendable
M	arr1jlassertionerror
M	arr1jlboolean
